# Order
title,price,discprice,discount,fprice

# less then 2$
Fish Story, 1.17, 0.35, 70%, 0.35
zzzzz, 2.29, 0.43, 81%, 0.43
KNIGHTS, 1.09, 0.54, 50%, 0.54
Bacteria, 1.09, 0.56, 48%, 0.56
Ball of Wonder, 5.69, 0.56, 90%, 0.56
CAT Interstellar, 5.69, 0.56, 90%, 0.56
Day of Defeat, 5.69, 0.56, 90%, 0.56
Eron, 5.69, 0.56, 90%, 0.56
Half-Life: Blue Shift, 5.69, 0.56, 90%, 0.56
Half-Life: Opposing Force, 5.69, 0.56, 90%, 0.56
monstercakes, 1.09, 0.56, 48%, 0.56
Play With Me: Escape Room, 3.39, 0.57, 83%, 0.57
Soccertron, 2.29, 0.57, 75%, 0.57
Nice Way, 1.19, 0.59, 50%, 0.59
Half-Life 2: Deathmatch, 6.49, 0.64, 90%, 0.64
Ricochet, 6.49, 0.64, 90%, 0.64
Mosaique Neko Waifus 2, 2.29, 0.68, 70%, 0.68
Mosaique Neko Waifus 3, 2.29, 0.68, 70%, 0.68
Lionessy Story, 5.69, 0.73, 87%, 0.73
oO, 1.09, 0.76, 30%, 0.76
ADventure Lib, 2.59, 0.77, 70%, 0.77
Blueprint Tycoon, 3.29, 0.82, 75%, 0.82
Gravity Badgers, 5.49, 0.82, 85%, 0.82
Guns of Icarus Online, 5.49, 0.82, 85%, 0.82
Rabbit Hole 3D: Steam Edition, 3.39, 0.84, 75%, 0.84
Hit Zero: Chronos, 1.19, 0.95, 20%, 0.95
TYRONE vs COPS, 1.19, 0.95, 20%, 0.95
Hexcells, 3.29, 0.98, 70%, 0.98
Hexcells Plus, 3.29, 0.98, 70%, 0.98
SquareCells, 3.29, 0.98, 70%, 0.98
Waveform, 1.00,0, 0%, 1.00
Rose of Winter, 10.29, 1.02, 90%, 1.02
Half-Life 2: Episode One, 10.49, 1.04, 90%, 1.04
Blockstorm, 5.49, 1.09, 80%, 1.09
Crush Your Enemies, 10.99, 1.09, 90%, 1.09
Guards, 5.49, 1.09, 80%, 1.09
Paranautical Activity: Deluxe Atonement Edition, 10.99, 1.09, 90%, 1.09
POSTAL 2, 10.99, 1.09, 90%, 1.09
Tiny and Big: Grandpa's Leftovers, 10.99, 1.09, 90%, 1.09
Aperture Tag: The Paint Gun Testing Initiative, 5.69, 1.13, 80%, 1.13
Bloody Trapland 2: Curiosity, 11.49, 1.14, 90%, 1.14
Counter-Strike, 11.49, 1.14, 90%, 1.14
Counter-Strike: Condition Zero, 11.49, 1.14, 90%, 1.14
Flamebreak, 11.49, 1.14, 90%, 1.14
Half-Life, 11.49, 1.14, 90%, 1.14
POSTAL Redux, 9.99, 1.19, 88%, 1.19
Reigns: Her Majesty, 3.89, 1.28, 67%, 1.28
3D Math - Ultra, 1.29,0, 0%, 1.29
Counter-Strike: Source, 12.99, 1.29, 90%, 1.29
Day of Defeat: Source, 12.99, 1.29, 90%, 1.29
Hacker Evolution: Untold, 1.29,0, 0%, 1.29
Half-Life Deathmatch: Source, 12.99, 1.29, 90%, 1.29
Half-Life: Source, 12.99, 1.29, 90%, 1.29
Milk inside a bag of milk inside a bag of milk, 1.29,0, 0%, 1.29
Receiver, 6.49, 1.29, 80%, 1.29
Mountain, 1.32,0, 0%, 1.32
AdvertCity, 13.49, 1.34, 90%, 1.34
Earth 2160, 5.49, 1.37, 75%, 1.37
Satellite Rush, 5.49, 1.37, 75%, 1.37
Fire: Ungh’s Quest, 13.99, 1.39, 90%, 1.39
ICY: Frostbite Edition, 13.99, 1.39, 90%, 1.39
Zombie Night Terror, 13.99, 1.39, 90%, 1.39
Cursed Sight, 5.69, 1.42, 75%, 1.42
Lazy Galaxy, 5.69, 1.42, 75%, 1.42
The Final Take, 2.19, 1.46, 33%, 1.46
Moon Hunters, 14.99, 1.49, 90%, 1.49
HunieCam Studio, 7.79, 1.55, 80%, 1.55
Knytt Underground, 7.79, 1.55, 80%, 1.55
Crash Drive 2, 6.49, 1.62, 75%, 1.62
Home Behind, 6.49, 1.62, 75%, 1.62
Lovely Planet, 6.49, 1.62, 75%, 1.62
12 is Better Than 6, 10.99, 1.64, 85%, 1.64
Boson X, 3.29, 1.64, 50%, 1.64
Hexcells Infinite, 5.49, 1.64, 70%, 1.64
Penarium, 10.99, 1.64, 85%, 1.64
Pixel Heroes: Byte & Magic, 10.99, 1.64, 85%, 1.64
The POSTAL 2 Collection, 17.48, 1.69, 90%, 1.69
Spirits of Xanadu, 5.69, 1.70, 70%, 1.70
Vertiginous Golf, 11.49, 1.72, 85%, 1.72
Apocryph: an old-school shooter, 17.49, 1.74, 90%, 1.74
Breach & Clear, 17.49, 1.74, 90%, 1.74
Circuit Breakers, 7.79, 1.94, 75%, 1.94
